material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
AlAs,zb,encut,E300,-10.50691016,-5.25345508,./convergence_tests_LDA/AlAs/conv_cutoff/E300,LDA
AlAs,zb,encut,E400,-10.50970412,-5.25485206,./convergence_tests_LDA/AlAs/conv_cutoff/E400,LDA
AlAs,zb,encut,E500,-10.50995363,-5.254976815,./convergence_tests_LDA/AlAs/conv_cutoff/E500,LDA
AlAs,zb,encut,E600,-10.51001596,-5.25500798,./convergence_tests_LDA/AlAs/conv_cutoff/E600,LDA
AlAs,zb,encut,E700,-10.51012298,-5.25506149,./convergence_tests_LDA/AlAs/conv_cutoff/E700,LDA
AlAs,zb,kpt,k10x10x10,-10.51151881,-5.255759405,./convergence_tests_LDA/AlAs/conv_kpt/k10x10x10,LDA
AlAs,zb,kpt,k12x12x12,-10.51177442,-5.25588721,./convergence_tests_LDA/AlAs/conv_kpt/k12x12x12,LDA
AlAs,zb,kpt,k4x4x4,-10.38820466,-5.19410233,./convergence_tests_LDA/AlAs/conv_kpt/k4x4x4,LDA
AlAs,zb,kpt,k6x6x6,-10.49859134,-5.24929567,./convergence_tests_LDA/AlAs/conv_kpt/k6x6x6,LDA
AlAs,zb,kpt,k8x8x8,-10.50995363,-5.254976815,./convergence_tests_LDA/AlAs/conv_kpt/k8x8x8,LDA
AlN,zb,encut,E300,-16.36101266,-8.18050633,./convergence_tests_LDA/AlN/conv_cutoff/E300,LDA
AlN,zb,encut,E400,-16.37295254,-8.18647627,./convergence_tests_LDA/AlN/conv_cutoff/E400,LDA
AlN,zb,encut,E500,-16.37305975,-8.186529875,./convergence_tests_LDA/AlN/conv_cutoff/E500,LDA
AlN,zb,encut,E600,-16.37346411,-8.186732055,./convergence_tests_LDA/AlN/conv_cutoff/E600,LDA
AlN,zb,encut,E700,-16.37591919,-8.187959595,./convergence_tests_LDA/AlN/conv_cutoff/E700,LDA
AlN,zb,kpt,k10x10x10,-16.37305975,-8.186529875,./convergence_tests_LDA/AlN/conv_kpt/k10x10x10,LDA
AlN,zb,kpt,k12x12x12,-16.37307747,-8.186538735,./convergence_tests_LDA/AlN/conv_kpt/k12x12x12,LDA
AlN,zb,kpt,k4x4x4,-16.33481642,-8.16740821,./convergence_tests_LDA/AlN/conv_kpt/k4x4x4,LDA
AlN,zb,kpt,k6x6x6,-16.37118759,-8.185593795,./convergence_tests_LDA/AlN/conv_kpt/k6x6x6,LDA
AlN,zb,kpt,k8x8x8,-16.37295156,-8.18647578,./convergence_tests_LDA/AlN/conv_kpt/k8x8x8,LDA
AlP,zb,encut,E300,-11.40317933,-5.701589665,./convergence_tests_LDA/AlP/conv_cutoff/E300,LDA
AlP,zb,encut,E400,-11.4073135,-5.70365675,./convergence_tests_LDA/AlP/conv_cutoff/E400,LDA
AlP,zb,encut,E500,-11.40751568,-5.70375784,./convergence_tests_LDA/AlP/conv_cutoff/E500,LDA
AlP,zb,encut,E600,-11.40781101,-5.703905505,./convergence_tests_LDA/AlP/conv_cutoff/E600,LDA
AlP,zb,encut,E700,-11.40797575,-5.703987875,./convergence_tests_LDA/AlP/conv_cutoff/E700,LDA
AlP,zb,kpt,k10x10x10,-11.40848121,-5.704240605,./convergence_tests_LDA/AlP/conv_kpt/k10x10x10,LDA
