material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
AlAs,wz,encut,E300,-18.72429387,-4.6810734675,./convergence_tests/PBE/wz/AlAs/conv_cutoff/E300,PBE
AlAs,wz,encut,E400,-18.73106172,-4.68276543,./convergence_tests/PBE/wz/AlAs/conv_cutoff/E400,PBE
AlAs,wz,encut,E500,-18.73206236,-4.68301559,./convergence_tests/PBE/wz/AlAs/conv_cutoff/E500,PBE
AlAs,wz,encut,E600,-18.73226437,-4.6830660925,./convergence_tests/PBE/wz/AlAs/conv_cutoff/E600,PBE
AlAs,wz,encut,E700,-18.7325377,-4.683134425,./convergence_tests/PBE/wz/AlAs/conv_cutoff/E700,PBE
AlAs,wz,kpt,k12x12x8,-18.73626243,-4.6840656075,./convergence_tests/PBE/wz/AlAs/conv_kpt/k12x12x8,PBE
AlAs,wz,kpt,k15x15x10,-18.73630762,-4.684076905,./convergence_tests/PBE/wz/AlAs/conv_kpt/k15x15x10,PBE
AlAs,wz,kpt,k3x3x2,-18.30143799,-4.5753594975,./convergence_tests/PBE/wz/AlAs/conv_kpt/k3x3x2,PBE
AlAs,wz,kpt,k6x6x4,-18.7238926,-4.68097315,./convergence_tests/PBE/wz/AlAs/conv_kpt/k6x6x4,PBE
AlAs,wz,kpt,k9x9x6,-18.73563116,-4.68390779,./convergence_tests/PBE/wz/AlAs/conv_kpt/k9x9x6,PBE
AlN,wz,encut,E300,-29.75230377,-7.4380759425,./convergence_tests/PBE/wz/AlN/conv_cutoff/E300,PBE
AlN,wz,encut,E400,-29.78259434,-7.445648585,./convergence_tests/PBE/wz/AlN/conv_cutoff/E400,PBE
AlN,wz,encut,E500,-29.7814596,-7.4453649,./convergence_tests/PBE/wz/AlN/conv_cutoff/E500,PBE
AlN,wz,encut,E600,-29.78356933,-7.4458923325,./convergence_tests/PBE/wz/AlN/conv_cutoff/E600,PBE
AlN,wz,encut,E700,-29.78983245,-7.4474581125,./convergence_tests/PBE/wz/AlN/conv_cutoff/E700,PBE
AlN,wz,kpt,k12x12x8,-29.78145946,-7.445364865,./convergence_tests/PBE/wz/AlN/conv_kpt/k12x12x8,PBE
AlN,wz,kpt,k15x15x10,-29.78146471,-7.4453661775,./convergence_tests/PBE/wz/AlN/conv_kpt/k15x15x10,PBE
AlN,wz,kpt,k3x3x2,-29.59633224,-7.39908306,./convergence_tests/PBE/wz/AlN/conv_kpt/k3x3x2,PBE
AlN,wz,kpt,k6x6x4,-29.78009771,-7.4450244275,./convergence_tests/PBE/wz/AlN/conv_kpt/k6x6x4,PBE
AlN,wz,kpt,k9x9x6,-29.7814596,-7.4453649,./convergence_tests/PBE/wz/AlN/conv_kpt/k9x9x6,PBE
AlP,wz,encut,E300,-20.72000677,-5.1800016925,./convergence_tests/PBE/wz/AlP/conv_cutoff/E300,PBE
AlP,wz,encut,E400,-20.72906544,-5.18226636,./convergence_tests/PBE/wz/AlP/conv_cutoff/E400,PBE
AlP,wz,encut,E500,-20.72986146,-5.182465365,./convergence_tests/PBE/wz/AlP/conv_cutoff/E500,PBE
AlP,wz,encut,E600,-20.73052917,-5.1826322925,./convergence_tests/PBE/wz/AlP/conv_cutoff/E600,PBE
AlP,wz,encut,E700,-20.73087124,-5.18271781,./convergence_tests/PBE/wz/AlP/conv_cutoff/E700,PBE
AlP,wz,kpt,k12x12x8,-20.7325112,-5.1831278,./convergence_tests/PBE/wz/AlP/conv_kpt/k12x12x8,PBE
AlP,wz,kpt,k15x15x10,-20.73252875,-5.1831321875,./convergence_tests/PBE/wz/AlP/conv_kpt/k15x15x10,PBE
AlP,wz,kpt,k3x3x2,-20.35337528,-5.08834382,./convergence_tests/PBE/wz/AlP/conv_kpt/k3x3x2,PBE
AlP,wz,kpt,k6x6x4,-20.72373769,-5.1809344225,./convergence_tests/PBE/wz/AlP/conv_kpt/k6x6x4,PBE
AlP,wz,kpt,k9x9x6,-20.73215649,-5.1830391225,./convergence_tests/PBE/wz/AlP/conv_kpt/k9x9x6,PBE
AlSb,wz,encut,E300,-16.37934903,-4.0948372575,./convergence_tests/PBE/wz/AlSb/conv_cutoff/E300,PBE
AlSb,wz,encut,E400,-16.3849619,-4.096240475,./convergence_tests/PBE/wz/AlSb/conv_cutoff/E400,PBE
AlSb,wz,encut,E500,-16.38586005,-4.0964650125,./convergence_tests/PBE/wz/AlSb/conv_cutoff/E500,PBE
AlSb,wz,encut,E600,-16.38610977,-4.0965274425,./convergence_tests/PBE/wz/AlSb/conv_cutoff/E600,PBE
AlSb,wz,encut,E700,-16.38633567,-4.0965839175,./convergence_tests/PBE/wz/AlSb/conv_cutoff/E700,PBE
AlSb,wz,kpt,k12x12x8,-16.3917521,-4.097938025,./convergence_tests/PBE/wz/AlSb/conv_kpt/k12x12x8,PBE
AlSb,wz,kpt,k15x15x10,-16.39184327,-4.0979608175,./convergence_tests/PBE/wz/AlSb/conv_kpt/k15x15x10,PBE
AlSb,wz,kpt,k3x3x2,-15.94274636,-3.98568659,./convergence_tests/PBE/wz/AlSb/conv_kpt/k3x3x2,PBE
AlSb,wz,kpt,k6x6x4,-16.37586268,-4.09396567,./convergence_tests/PBE/wz/AlSb/conv_kpt/k6x6x4,PBE
AlSb,wz,kpt,k9x9x6,-16.39074777,-4.0976869425,./convergence_tests/PBE/wz/AlSb/conv_kpt/k9x9x6,PBE
BAs,wz,encut,E300,-22.76712468,-5.69178117,./convergence_tests/PBE/wz/BAs/conv_cutoff/E300,PBE
BAs,wz,encut,E400,-22.78820173,-5.6970504325,./convergence_tests/PBE/wz/BAs/conv_cutoff/E400,PBE
BAs,wz,encut,E500,-22.78877439,-5.6971935975,./convergence_tests/PBE/wz/BAs/conv_cutoff/E500,PBE
BAs,wz,encut,E600,-22.79098242,-5.697745605,./convergence_tests/PBE/wz/BAs/conv_cutoff/E600,PBE
BAs,wz,encut,E700,-22.79235241,-5.6980881025,./convergence_tests/PBE/wz/BAs/conv_cutoff/E700,PBE
BAs,wz,kpt,k12x12x8,-22.79002197,-5.6975054925,./convergence_tests/PBE/wz/BAs/conv_kpt/k12x12x8,PBE
BAs,wz,kpt,k15x15x10,-22.79009656,-5.69752414,./convergence_tests/PBE/wz/BAs/conv_kpt/k15x15x10,PBE
BAs,wz,kpt,k3x3x2,-22.13825431,-5.5345635775,./convergence_tests/PBE/wz/BAs/conv_kpt/k3x3x2,PBE
BAs,wz,kpt,k6x6x4,-22.7689081,-5.692227025,./convergence_tests/PBE/wz/BAs/conv_kpt/k6x6x4,PBE
BAs,wz,kpt,k9x9x6,-22.78891369,-5.6972284225,./convergence_tests/PBE/wz/BAs/conv_kpt/k9x9x6,PBE
BN,wz,encut,E300,-34.86223747,-8.7155593675,./convergence_tests/PBE/wz/BN/conv_cutoff/E300,PBE
BN,wz,encut,E400,-34.83471765,-8.7086794125,./convergence_tests/PBE/wz/BN/conv_cutoff/E400,PBE
BN,wz,encut,E500,-34.83329242,-8.708323105,./convergence_tests/PBE/wz/BN/conv_cutoff/E500,PBE
BN,wz,encut,E600,-34.83981688,-8.70995422,./convergence_tests/PBE/wz/BN/conv_cutoff/E600,PBE
BN,wz,encut,E700,-34.84727199,-8.7118179975,./convergence_tests/PBE/wz/BN/conv_cutoff/E700,PBE
BN,wz,kpt,k12x12x8,-34.83329202,-8.708323005,./convergence_tests/PBE/wz/BN/conv_kpt/k12x12x8,PBE
BN,wz,kpt,k15x15x10,-34.83327565,-8.7083189125,./convergence_tests/PBE/wz/BN/conv_kpt/k15x15x10,PBE
BN,wz,kpt,k3x3x2,-34.44977653,-8.6124441325,./convergence_tests/PBE/wz/BN/conv_kpt/k3x3x2,PBE
BN,wz,kpt,k6x6x4,-34.82901388,-8.70725347,./convergence_tests/PBE/wz/BN/conv_kpt/k6x6x4,PBE
BN,wz,kpt,k9x9x6,-34.83324151,-8.7083103775,./convergence_tests/PBE/wz/BN/conv_kpt/k9x9x6,PBE
BP,wz,encut,E300,-25.78019462,-6.445048655,./convergence_tests/PBE/wz/BP/conv_cutoff/E300,PBE
BP,wz,encut,E400,-25.81428002,-6.453570005,./convergence_tests/PBE/wz/BP/conv_cutoff/E400,PBE
BP,wz,encut,E500,-25.81463059,-6.4536576475,./convergence_tests/PBE/wz/BP/conv_cutoff/E500,PBE
BP,wz,encut,E600,-25.81847893,-6.4546197325,./convergence_tests/PBE/wz/BP/conv_cutoff/E600,PBE
BP,wz,encut,E700,-25.82002198,-6.455005495,./convergence_tests/PBE/wz/BP/conv_cutoff/E700,PBE
BP,wz,kpt,k12x12x8,-25.81577425,-6.4539435625,./convergence_tests/PBE/wz/BP/conv_kpt/k12x12x8,PBE
BP,wz,kpt,k15x15x10,-25.81584252,-6.45396063,./convergence_tests/PBE/wz/BP/conv_kpt/k15x15x10,PBE
BP,wz,kpt,k3x3x2,-25.15031445,-6.2875786125,./convergence_tests/PBE/wz/BP/conv_kpt/k3x3x2,PBE
BP,wz,kpt,k6x6x4,-25.79518333,-6.4487958325,./convergence_tests/PBE/wz/BP/conv_kpt/k6x6x4,PBE
BP,wz,kpt,k9x9x6,-25.81474652,-6.45368663,./convergence_tests/PBE/wz/BP/conv_kpt/k9x9x6,PBE
GaAs,wz,encut,E300,-16.45972724,-4.11493181,./convergence_tests/PBE/wz/GaAs/conv_cutoff/E300,PBE
GaAs,wz,encut,E400,-16.45643911,-4.1141097775,./convergence_tests/PBE/wz/GaAs/conv_cutoff/E400,PBE
GaAs,wz,encut,E500,-16.45876899,-4.1146922475,./convergence_tests/PBE/wz/GaAs/conv_cutoff/E500,PBE
GaAs,wz,encut,E600,-16.45844886,-4.114612215,./convergence_tests/PBE/wz/GaAs/conv_cutoff/E600,PBE
GaAs,wz,encut,E700,-16.45844814,-4.114612035,./convergence_tests/PBE/wz/GaAs/conv_cutoff/E700,PBE
GaAs,wz,kpt,k12x12x8,-16.46926414,-4.117316035,./convergence_tests/PBE/wz/GaAs/conv_kpt/k12x12x8,PBE
GaAs,wz,kpt,k15x15x10,-16.46955486,-4.117388715,./convergence_tests/PBE/wz/GaAs/conv_kpt/k15x15x10,PBE
GaAs,wz,kpt,k3x3x2,-15.88442655,-3.9711066375,./convergence_tests/PBE/wz/GaAs/conv_kpt/k3x3x2,PBE
GaAs,wz,kpt,k6x6x4,-16.44432019,-4.1110800475,./convergence_tests/PBE/wz/GaAs/conv_kpt/k6x6x4,PBE
GaAs,wz,kpt,k9x9x6,-16.46722681,-4.1168067025,./convergence_tests/PBE/wz/GaAs/conv_kpt/k9x9x6,PBE
GaN,wz,encut,E300,-46.43918032,-5.80489754,./convergence_tests/PBE/wz/GaN/conv_cutoff/E300,PBE
GaN,wz,encut,E400,-46.35726982,-5.7946587275,./convergence_tests/PBE/wz/GaN/conv_cutoff/E400,PBE
GaN,wz,encut,E500,-46.35124007,-5.79390500875,./convergence_tests/PBE/wz/GaN/conv_cutoff/E500,PBE
GaN,wz,encut,E600,-46.35566435,-5.79445804375,./convergence_tests/PBE/wz/GaN/conv_cutoff/E600,PBE
GaN,wz,encut,E700,-46.36910398,-5.7961379975,./convergence_tests/PBE/wz/GaN/conv_cutoff/E700,PBE
GaN,wz,kpt,k12x12x8,-46.3540264,-5.7942533,./convergence_tests/PBE/wz/GaN/conv_kpt/k12x12x8,PBE
GaN,wz,kpt,k15x15x10,-46.35406229,-5.79425778625,./convergence_tests/PBE/wz/GaN/conv_kpt/k15x15x10,PBE
GaN,wz,kpt,k3x3x2,-45.67437393,-5.70929674125,./convergence_tests/PBE/wz/GaN/conv_kpt/k3x3x2,PBE
GaN,wz,kpt,k6x6x4,-46.34211482,-5.7927643525,./convergence_tests/PBE/wz/GaN/conv_kpt/k6x6x4,PBE
GaN,wz,kpt,k9x9x6,-46.35356187,-5.79419523375,./convergence_tests/PBE/wz/GaN/conv_kpt/k9x9x6,PBE
GaP,wz,encut,E300,-18.19413857,-4.5485346425,./convergence_tests/PBE/wz/GaP/conv_cutoff/E300,PBE
GaP,wz,encut,E400,-18.19129194,-4.547822985,./convergence_tests/PBE/wz/GaP/conv_cutoff/E400,PBE
GaP,wz,encut,E500,-18.19339693,-4.5483492325,./convergence_tests/PBE/wz/GaP/conv_cutoff/E500,PBE
GaP,wz,encut,E600,-18.19349908,-4.54837477,./convergence_tests/PBE/wz/GaP/conv_cutoff/E600,PBE
GaP,wz,encut,E700,-18.19361355,-4.5484033875,./convergence_tests/PBE/wz/GaP/conv_cutoff/E700,PBE
GaP,wz,kpt,k12x12x8,-18.19934152,-4.54983538,./convergence_tests/PBE/wz/GaP/conv_kpt/k12x12x8,PBE
GaP,wz,kpt,k15x15x10,-18.19941679,-4.5498541975,./convergence_tests/PBE/wz/GaP/conv_kpt/k15x15x10,PBE
GaP,wz,kpt,k3x3x2,-17.69453247,-4.4236331175,./convergence_tests/PBE/wz/GaP/conv_kpt/k3x3x2,PBE
GaP,wz,kpt,k6x6x4,-18.18282226,-4.545705565,./convergence_tests/PBE/wz/GaP/conv_kpt/k6x6x4,PBE
GaP,wz,kpt,k9x9x6,-18.19840584,-4.54960146,./convergence_tests/PBE/wz/GaP/conv_kpt/k9x9x6,PBE
GaSb,wz,encut,E300,-14.65558665,-3.6638966625,./convergence_tests/PBE/wz/GaSb/conv_cutoff/E300,PBE
GaSb,wz,encut,E400,-14.65090453,-3.6627261325,./convergence_tests/PBE/wz/GaSb/conv_cutoff/E400,PBE
GaSb,wz,encut,E500,-14.65298598,-3.663246495,./convergence_tests/PBE/wz/GaSb/conv_cutoff/E500,PBE
GaSb,wz,encut,E600,-14.65265988,-3.66316497,./convergence_tests/PBE/wz/GaSb/conv_cutoff/E600,PBE
GaSb,wz,encut,E700,-14.65281097,-3.6632027425,./convergence_tests/PBE/wz/GaSb/conv_cutoff/E700,PBE
GaSb,wz,kpt,k12x12x8,-14.66672195,-3.6666804875,./convergence_tests/PBE/wz/GaSb/conv_kpt/k12x12x8,PBE
