material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
AlAs,zb,encut,E300,-9.37509683,-4.687548415,./convergence_tests/AlAs/conv_cutoff/E300,PBE
AlAs,zb,encut,E400,-9.37842492,-4.68921246,./convergence_tests/AlAs/conv_cutoff/E400,PBE
AlAs,zb,encut,E500,-9.37892924,-4.68946462,./convergence_tests/AlAs/conv_cutoff/E500,PBE
AlAs,zb,encut,E600,-9.37902955,-4.689514775,./convergence_tests/AlAs/conv_cutoff/E600,PBE
AlAs,zb,encut,E700,-9.37916614,-4.68958307,./convergence_tests/AlAs/conv_cutoff/E700,PBE
AlAs,zb,kpt,k10x10x10,-9.38031561,-4.690157805,./convergence_tests/AlAs/conv_kpt/k10x10x10,PBE
AlAs,zb,kpt,k12x12x12,-9.38053267,-4.690266335,./convergence_tests/AlAs/conv_kpt/k12x12x12,PBE
AlAs,zb,kpt,k4x4x4,-9.26394668,-4.63197334,./convergence_tests/AlAs/conv_kpt/k4x4x4,PBE
AlAs,zb,kpt,k6x6x6,-9.36848794,-4.68424397,./convergence_tests/AlAs/conv_kpt/k6x6x6,PBE
AlAs,zb,kpt,k8x8x8,-9.37892924,-4.68946462,./convergence_tests/AlAs/conv_kpt/k8x8x8,PBE
AlN,zb,encut,E300,-14.823004,-7.411502,./convergence_tests/AlN/conv_cutoff/E300,PBE
AlN,zb,encut,E400,-14.84076415,-7.420382075,./convergence_tests/AlN/conv_cutoff/E400,PBE
AlN,zb,encut,E500,-14.84085513,-7.420427565,./convergence_tests/AlN/conv_cutoff/E500,PBE
AlN,zb,encut,E600,-14.84196079,-7.420980395,./convergence_tests/AlN/conv_cutoff/E600,PBE
AlN,zb,encut,E700,-14.845056,-7.422528,./convergence_tests/AlN/conv_cutoff/E700,PBE
AlN,zb,kpt,k10x10x10,-14.84085513,-7.420427565,./convergence_tests/AlN/conv_kpt/k10x10x10,PBE
AlN,zb,kpt,k12x12x12,-14.84086989,-7.420434945,./convergence_tests/AlN/conv_kpt/k12x12x12,PBE
AlN,zb,kpt,k4x4x4,-14.80379958,-7.40189979,./convergence_tests/AlN/conv_kpt/k4x4x4,PBE
AlN,zb,kpt,k6x6x6,-14.83905456,-7.41952728,./convergence_tests/AlN/conv_kpt/k6x6x6,PBE
AlN,zb,kpt,k8x8x8,-14.84075307,-7.420376535,./convergence_tests/AlN/conv_kpt/k8x8x8,PBE
AlP,zb,encut,E300,-10.36827297,-5.184136485,./convergence_tests/AlP/conv_cutoff/E300,PBE
AlP,zb,encut,E400,-10.37278858,-5.18639429,./convergence_tests/AlP/conv_cutoff/E400,PBE
AlP,zb,encut,E500,-10.37321452,-5.18660726,./convergence_tests/AlP/conv_cutoff/E500,PBE
AlP,zb,encut,E600,-10.373548,-5.186774,./convergence_tests/AlP/conv_cutoff/E600,PBE
AlP,zb,encut,E700,-10.37371836,-5.18685918,./convergence_tests/AlP/conv_cutoff/E700,PBE
AlP,zb,kpt,k10x10x10,-10.37404283,-5.187021415,./convergence_tests/AlP/conv_kpt/k10x10x10,PBE
AlP,zb,kpt,k12x12x12,-10.37414402,-5.18707201,./convergence_tests/AlP/conv_kpt/k12x12x12,PBE
AlP,zb,kpt,k4x4x4,-10.27827301,-5.139136505,./convergence_tests/AlP/conv_kpt/k4x4x4,PBE
AlP,zb,kpt,k6x6x6,-10.36562181,-5.182810905,./convergence_tests/AlP/conv_kpt/k6x6x6,PBE
AlP,zb,kpt,k8x8x8,-10.37321452,-5.18660726,./convergence_tests/AlP/conv_kpt/k8x8x8,PBE
AlSb,zb,encut,E300,-8.20152863,-4.100764315,./convergence_tests/AlSb/conv_cutoff/E300,PBE
AlSb,zb,encut,E400,-8.20428893,-4.102144465,./convergence_tests/AlSb/conv_cutoff/E400,PBE
AlSb,zb,encut,E500,-8.20473761,-4.102368805,./convergence_tests/AlSb/conv_cutoff/E500,PBE
AlSb,zb,encut,E600,-8.20486209,-4.102431045,./convergence_tests/AlSb/conv_cutoff/E600,PBE
AlSb,zb,encut,E700,-8.20497306,-4.10248653,./convergence_tests/AlSb/conv_cutoff/E700,PBE
AlSb,zb,kpt,k10x10x10,-8.21043026,-4.10521513,./convergence_tests/AlSb/conv_kpt/k10x10x10,PBE
AlSb,zb,kpt,k12x12x12,-8.21082108,-4.10541054,./convergence_tests/AlSb/conv_kpt/k12x12x12,PBE
AlSb,zb,kpt,k4x4x4,-8.08100477,-4.040502385,./convergence_tests/AlSb/conv_kpt/k4x4x4,PBE
AlSb,zb,kpt,k6x6x6,-8.19515061,-4.097575305,./convergence_tests/AlSb/conv_kpt/k6x6x6,PBE
AlSb,zb,kpt,k8x8x8,-8.20835346,-4.10417673,./convergence_tests/AlSb/conv_kpt/k8x8x8,PBE
BAs,zb,encut,E300,-11.40213862,-5.70106931,./convergence_tests/BAs/conv_cutoff/E300,PBE
BAs,zb,encut,E400,-11.41250389,-5.706251945,./convergence_tests/BAs/conv_cutoff/E400,PBE
BAs,zb,encut,E500,-11.41279158,-5.70639579,./convergence_tests/BAs/conv_cutoff/E500,PBE
BAs,zb,encut,E600,-11.41389036,-5.70694518,./convergence_tests/BAs/conv_cutoff/E600,PBE
BAs,zb,encut,E700,-11.4145741,-5.70728705,./convergence_tests/BAs/conv_cutoff/E700,PBE
BAs,zb,kpt,k10x10x10,-11.41340043,-5.706700215,./convergence_tests/BAs/conv_kpt/k10x10x10,PBE
BAs,zb,kpt,k12x12x12,-11.41373328,-5.70686664,./convergence_tests/BAs/conv_kpt/k12x12x12,PBE
BAs,zb,kpt,k4x4x4,-11.23739532,-5.61869766,./convergence_tests/BAs/conv_kpt/k4x4x4,PBE
BAs,zb,kpt,k6x6x6,-11.39481656,-5.69740828,./convergence_tests/BAs/conv_kpt/k6x6x6,PBE
BAs,zb,kpt,k8x8x8,-11.41122098,-5.70561049,./convergence_tests/BAs/conv_kpt/k8x8x8,PBE
BN,zb,encut,E300,-17.46657874,-8.73328937,./convergence_tests/BN/conv_cutoff/E300,PBE
BN,zb,encut,E400,-17.4478871,-8.72394355,./convergence_tests/BN/conv_cutoff/E400,PBE
BN,zb,encut,E500,-17.45139625,-8.725698125,./convergence_tests/BN/conv_cutoff/E500,PBE
BN,zb,encut,E600,-17.4546262,-8.7273131,./convergence_tests/BN/conv_cutoff/E600,PBE
BN,zb,encut,E700,-17.45840181,-8.729200905,./convergence_tests/BN/conv_cutoff/E700,PBE
BN,zb,kpt,k10x10x10,-17.45137107,-8.725685535,./convergence_tests/BN/conv_kpt/k10x10x10,PBE
BN,zb,kpt,k12x12x12,-17.45139625,-8.725698125,./convergence_tests/BN/conv_kpt/k12x12x12,PBE
BN,zb,kpt,k4x4x4,-17.37761463,-8.688807315,./convergence_tests/BN/conv_kpt/k4x4x4,PBE
BN,zb,kpt,k6x6x6,-17.44746212,-8.72373106,./convergence_tests/BN/conv_kpt/k6x6x6,PBE
BN,zb,kpt,k8x8x8,-17.45116096,-8.72558048,./convergence_tests/BN/conv_kpt/k8x8x8,PBE
BP,zb,encut,E300,-12.91239718,-6.45619859,./convergence_tests/BP/conv_cutoff/E300,PBE
BP,zb,encut,E400,-12.92929106,-6.46464553,./convergence_tests/BP/conv_cutoff/E400,PBE
BP,zb,encut,E500,-12.92942579,-6.464712895,./convergence_tests/BP/conv_cutoff/E500,PBE
BP,zb,encut,E600,-12.93135842,-6.46567921,./convergence_tests/BP/conv_cutoff/E600,PBE
BP,zb,encut,E700,-12.93213066,-6.46606533,./convergence_tests/BP/conv_cutoff/E700,PBE
BP,zb,kpt,k10x10x10,-12.92942579,-6.464712895,./convergence_tests/BP/conv_kpt/k10x10x10,PBE
BP,zb,kpt,k12x12x12,-12.9296919,-6.46484595,./convergence_tests/BP/conv_kpt/k12x12x12,PBE
