material,structure,Volume(Ang^3),Energy(eV)
AlAs,zb,40.44225156,-9.12976107
AlAs,zb,41.71928243,-9.22823682
AlAs,zb,43.02291716,-9.30117737
AlAs,zb,44.35343001,-9.35082908
AlAs,zb,45.71109525,-9.37927801
AlAs,zb,47.09618714,-9.38846363
AlAs,zb,48.50897997,-9.38018798
AlAs,zb,49.94974798,-9.35612207
AlAs,zb,51.41876544,-9.31781246
AlAs,zb,52.91630664,-9.26670278
AlN,zb,18.4330735,-14.55074663
AlN,zb,19.01512823,-14.66900202
AlN,zb,19.60930867,-14.7556698
AlN,zb,20.21573982,-14.81326681
AlN,zb,20.83454669,-14.84417798
AlN,zb,21.46585429,-14.85064972
AlN,zb,22.10978762,-14.83468199
AlN,zb,22.7664717,-14.79823158
AlN,zb,23.43603153,-14.74304131
AlN,zb,24.11859211,-14.67081331
AlP,zb,36.25954063,-10.14277485
AlP,zb,37.40449549,-10.23830766
AlP,zb,38.57330273,-10.30722704
AlP,zb,39.76620824,-10.35179443
AlP,zb,40.98345792,-10.37411517
AlP,zb,42.22529768,-10.37615388
AlP,zb,43.49197342,-10.35973879
AlP,zb,44.78373103,-10.32657565
AlP,zb,46.10081641,-10.2782505
AlP,zb,47.44347548,-10.2162431
AlSb,zb,52.33373459,-7.99261778
AlSb,zb,53.98625867,-8.08103868
AlSb,zb,55.6732091,-8.14533268
AlSb,zb,57.39494079,-8.18772171
AlSb,zb,59.15180866,-8.21026897
AlSb,zb,60.94416761,-8.2148831
AlSb,zb,62.77237256,-8.20333399
AlSb,zb,64.63677842,-8.177261
AlSb,zb,66.5377401,-8.13817635
AlSb,zb,68.4756125,-8.0874843
BAs,zb,24.75672299,-11.22878718
BAs,zb,25.5384574,-11.31328877
BAs,zb,26.33647735,-11.37056186
BAs,zb,27.15095075,-11.40296443
BAs,zb,27.98204548,-11.41268447
BAs,zb,28.82992944,-11.40176248
BAs,zb,29.69477052,-11.3720891
BAs,zb,30.57673662,-11.32543046
BAs,zb,31.47599561,-11.26343049
BAs,zb,32.3927154,-11.18761805
BN,zb,10.54478734,-17.23552094
BN,zb,10.87775641,-17.33635424
BN,zb,11.21766209,-17.40555903
BN,zb,11.56457589,-17.44542377
BN,zb,11.91856932,-17.45826762
BN,zb,12.27971388,-17.44611283
BN,zb,12.64808111,-17.41090686
BN,zb,13.02374249,-17.35456131
BN,zb,13.40676955,-17.27875508
BN,zb,13.7972338,-17.18508217
BP,zb,20.59041167,-12.70946875
BP,zb,21.24058792,-12.80485432
BP,zb,21.90430902,-12.87239093
BP,zb,22.58171461,-12.91421707
BP,zb,23.27294433,-12.93233636
BP,zb,23.97813781,-12.92862975
BP,zb,24.6974347,-12.90486118
BP,zb,25.43097463,-12.86268054
BP,zb,26.17889725,-12.80364325
BP,zb,26.94134217,-12.72921068
BSb,zb,32.60210092,-9.91898246
BSb,zb,33.63156608,-10.00337241
BSb,zb,34.68247767,-10.06044036
BSb,zb,35.75505678,-10.09271759
BSb,zb,36.84952451,-10.10254419
BSb,zb,37.96610195,-10.09208406
BSb,zb,39.10501021,-10.0633452
BSb,zb,40.26647037,-10.01818141
BSb,zb,41.45070354,-9.95831248
BSb,zb,42.65793081,-9.88532583
GaAs,zb,42.05314715,-8.12165246
GaAs,zb,43.3810447,-8.19109753
GaAs,zb,44.7366058,-8.23811669
GaAs,zb,46.12011563,-8.26498269
GaAs,zb,47.53185939,-8.27379917
GaAs,zb,48.97212226,-8.26644527
GaAs,zb,50.44118943,-8.24460562
GaAs,zb,51.93934611,-8.20986431
GaAs,zb,53.46687748,-8.16367694
GaAs,zb,55.02406872,-8.10732005
GaN,zb,20.24961326,-11.83412715
GaN,zb,20.88902823,-11.95745026
GaN,zb,21.54176388,-12.04831508
GaN,zb,22.20795751,-12.10965137
GaN,zb,22.88774647,-12.14422841
GaN,zb,23.58126808,-12.1545605
GaN,zb,24.28865966,-12.1429791
GaN,zb,25.01005854,-12.11165439
GaN,zb,25.74560205,-12.06254505
GaN,zb,26.49542751,-11.99748682
