material,functional,structure,Volume(Ang^3),Energy(eV)
AlAs,PBE,wz,80.73558902,-18.22394908
AlAs,PBE,wz,83.28494855,-18.42348391
AlAs,PBE,wz,85.88741783,-18.57178752
AlAs,PBE,wz,88.5435444,-18.67335459
AlAs,PBE,wz,91.25387576,-18.73238647
AlAs,PBE,wz,94.01895945,-18.75274374
AlAs,PBE,wz,96.83934299,-18.73806735
AlAs,PBE,wz,99.7155739,-18.69170379
AlAs,PBE,wz,102.6481997,-18.61675929
AlAs,PBE,wz,105.63776793,-18.51611778
AlN,PBE,wz,37.62541832,-29.36985367
AlN,PBE,wz,38.81350303,-29.55955207
AlN,PBE,wz,40.02633861,-29.68950163
AlN,PBE,wz,41.26418024,-29.76446212
AlN,PBE,wz,42.52728308,-29.78885511
AlN,PBE,wz,43.81590228,-29.76693888
AlN,PBE,wz,45.13029302,-29.70255329
AlN,PBE,wz,46.47071046,-29.59941449
AlN,PBE,wz,47.83740975,-29.46095568
AlN,PBE,wz,49.23064607,-29.29029956
AlP,PBE,wz,72.5254511,-20.26876381
AlP,PBE,wz,74.81556197,-20.45960848
AlP,PBE,wz,77.15338177,-20.59730548
AlP,PBE,wz,79.53940235,-20.68632135
AlP,PBE,wz,81.97411556,-20.73088506
AlP,PBE,wz,84.45801324,-20.73491966
AlP,PBE,wz,86.99158723,-20.70207723
AlP,PBE,wz,89.57532937,-20.63576979
AlP,PBE,wz,92.20973153,-20.5391819
AlP,PBE,wz,94.89528553,-20.41527515
AlSb,PBE,wz,104.60278764,-15.95398353
AlSb,PBE,wz,107.90579337,-16.13048636
AlSb,PBE,wz,111.27760926,-16.25890566
AlSb,PBE,wz,114.71894468,-16.34365738
AlSb,PBE,wz,118.23050903,-16.38885205
AlSb,PBE,wz,121.81301169,-16.39826754
AlSb,PBE,wz,125.46716203,-16.37543739
AlSb,PBE,wz,129.19366944,-16.32360197
AlSb,PBE,wz,132.99324331,-16.24578206
AlSb,PBE,wz,136.86659302,-16.14475983
BAs,PBE,wz,49.420908,-22.41391461
BAs,PBE,wz,50.98145477,-22.58397164
BAs,PBE,wz,52.57451176,-22.69948203
BAs,PBE,wz,54.20041415,-22.76515195
BAs,PBE,wz,55.85949707,-22.7853944
BAs,PBE,wz,57.55209569,-22.76429279
BAs,PBE,wz,59.27854516,-22.70565158
BAs,PBE,wz,61.03918065,-22.61299141
BAs,PBE,wz,62.83433731,-22.48960579
BAs,PBE,wz,64.66435029,-22.33853639
BN,PBE,wz,21.12432693,-34.39301027
BN,PBE,wz,21.79136244,-34.59728749
BN,PBE,wz,22.47229401,-34.7379377
BN,PBE,wz,23.16726492,-34.81967631
BN,PBE,wz,23.87641843,-34.8471041
BN,PBE,wz,24.59989778,-34.82439357
BN,PBE,wz,25.33784625,-34.75544487
BN,PBE,wz,26.09040708,-34.6439077
BN,PBE,wz,26.85772354,-34.49344392
BN,PBE,wz,27.63993888,-34.30707598
BP,PBE,wz,41.2029966,-25.37506023
BP,PBE,wz,42.50404925,-25.56547464
BP,PBE,wz,43.83220619,-25.70004024
BP,PBE,wz,45.18774685,-25.78301317
BP,PBE,wz,46.57095066,-25.81849633
BP,PBE,wz,47.98209703,-25.8102462
BP,PBE,wz,49.42146541,-25.76183004
BP,PBE,wz,50.8893352,-25.676581
BP,PBE,wz,52.38598584,-25.55765567
BP,PBE,wz,53.91169675,-25.40797752
GaAs,PBE,wz,80.4822831,-15.92166484
GaAs,PBE,wz,83.02364408,-16.12742462
GaAs,PBE,wz,85.61794818,-16.28315196
GaAs,PBE,wz,88.26574121,-16.39358659
GaAs,PBE,wz,90.96756897,-16.46316301
GaAs,PBE,wz,93.72397728,-16.49605231
GaAs,PBE,wz,96.53551194,-16.49604882
GaAs,PBE,wz,99.40271874,-16.46645007
GaAs,PBE,wz,102.32614351,-16.41038879
GaAs,PBE,wz,105.30633203,-16.33074599
GaN,PBE,wz,40.4574941,-23.68193403
GaN,PBE,wz,41.73500628,-23.93024065
GaN,PBE,wz,43.03913234,-24.11340732
GaN,PBE,wz,44.37014665,-24.23738013
GaN,PBE,wz,45.72832359,-24.30766952
GaN,PBE,wz,47.11393752,-24.32940479
GaN,PBE,wz,48.52726282,-24.30714105
GaN,PBE,wz,49.96857385,-24.24527265
GaN,PBE,wz,51.43814499,-24.14773079
GaN,PBE,wz,52.9362506,-24.01817334
GaP,PBE,wz,71.61440927,-17.68713053
GaP,PBE,wz,73.87575249,-17.88707521
GaP,PBE,wz,76.18420534,-18.03496679
GaP,PBE,wz,78.54025348,-18.13553336
GaP,PBE,wz,80.94438259,-18.19327117
GaP,PBE,wz,83.39707833,-18.21228662
GaP,PBE,wz,85.89882636,-18.19634204
GaP,PBE,wz,88.45011235,-18.14890573
GaP,PBE,wz,91.05142198,-18.07326575
GaP,PBE,wz,93.7032409,-17.97246639
GaSb,PBE,wz,102.03481331,-14.17610723
GaSb,PBE,wz,105.25673101,-14.36320655
GaSb,PBE,wz,108.54576959,-14.5034047
GaSb,PBE,wz,111.90262103,-14.60133683
GaSb,PBE,wz,115.32797728,-14.66134704
GaSb,PBE,wz,118.82253032,-14.68737036
GaSb,PBE,wz,122.38697212,-14.68311478
GaSb,PBE,wz,126.02199463,-14.65154635
GaSb,PBE,wz,129.72828984,-14.59578079
GaSb,PBE,wz,133.5065497,-14.51848484
InAs,PBE,wz,100.96241091,-14.86585423
InAs,PBE,wz,104.15046573,-15.06237099
InAs,PBE,wz,107.40493599,-15.2089235
InAs,PBE,wz,110.72650637,-15.31075231
InAs,PBE,wz,114.11586157,-15.37229234
InAs,PBE,wz,117.5736863,-15.39781726
InAs,PBE,wz,121.10066523,-15.39096355
InAs,PBE,wz,124.69748307,-15.35542219
InAs,PBE,wz,128.36482451,-15.29403281
InAs,PBE,wz,132.10337425,-15.20988305
InN,PBE,wz,55.37344053,-20.78034985
InN,PBE,wz,57.12194834,-21.02595605
InN,PBE,wz,58.9068821,-21.20664402
InN,PBE,wz,60.72861732,-21.32835228
InN,PBE,wz,62.58752953,-21.39700657
InN,PBE,wz,64.48399427,-21.4179432
InN,PBE,wz,66.41838704,-21.39599553
InN,PBE,wz,68.39108339,-21.33568024
InN,PBE,wz,70.40245882,-21.24113765
InN,PBE,wz,72.45288888,-21.11612859
InP,PBE,wz,91.04963006,-16.28954717
InP,PBE,wz,93.92467246,-16.48471004
InP,PBE,wz,96.85960943,-16.62763872
InP,PBE,wz,99.85505845,-16.72372616
InP,PBE,wz,102.91163698,-16.77724318
InP,PBE,wz,106.02996249,-16.7926435
InP,PBE,wz,109.21065246,-16.77378697
InP,PBE,wz,112.45432434,-16.72432045
InP,PBE,wz,115.76159562,-16.64765747
InP,PBE,wz,119.13308376,-16.5467761
InSb,PBE,wz,124.74494324,-13.38102258
InSb,PBE,wz,128.68397079,-13.5608654
InSb,PBE,wz,132.70505848,-13.69416218
InSb,PBE,wz,136.80905228,-13.78563804
InSb,PBE,wz,140.99679818,-13.83980584
InSb,PBE,wz,145.26914217,-13.86041914
InSb,PBE,wz,149.62693021,-13.85115901
InSb,PBE,wz,154.07100829,-13.81519828
InSb,PBE,wz,158.60222239,-13.75539838
InSb,PBE,wz,163.2214185,-13.67483894
