material,functional,structure,Volume(Ang^3),Energy(eV)
AlAs,LDA,zb,34.44655576,-9.62888764
AlAs,LDA,zb,35.59468134,-9.85213797
AlAs,LDA,zb,36.76803944,-10.03740549
AlAs,LDA,zb,37.96690433,-10.187876
AlAs,LDA,zb,39.19155029,-10.30650652
AlAs,LDA,zb,40.44225156,-10.39604352
AlAs,LDA,zb,41.71928243,-10.45902817
AlAs,LDA,zb,43.02291716,-10.49782968
AlAs,LDA,zb,44.35343001,-10.51464536
AlAs,LDA,zb,45.71109525,-10.51151311
AlAs,LDA,zb,47.09618714,-10.49032616
AlN,LDA,zb,15.70031018,-15.2211923
AlN,LDA,zb,16.22361149,-15.50440849
AlN,LDA,zb,16.75841347,-15.74121303
AlN,LDA,zb,17.30484113,-15.93526725
AlN,LDA,zb,17.86301947,-16.08994606
AlN,LDA,zb,18.4330735,-16.20841975
AlN,LDA,zb,19.01512823,-16.29354269
AlN,LDA,zb,19.60930867,-16.34806437
AlN,LDA,zb,20.21573982,-16.37445618
AlN,LDA,zb,20.83454669,-16.3750643
AlN,LDA,zb,21.46585429,-16.35209624
AlP,LDA,zb,30.88394537,-10.48406628
AlP,LDA,zb,31.91332688,-10.71739524
AlP,LDA,zb,32.96533127,-10.91138433
AlP,LDA,zb,34.04020442,-11.06920182
AlP,LDA,zb,35.13819224,-11.19380424
AlP,LDA,zb,36.25954063,-11.28794615
AlP,LDA,zb,37.40449549,-11.35418809
AlP,LDA,zb,38.57330273,-11.39491368
AlP,LDA,zb,39.76620824,-11.41234606
AlP,LDA,zb,40.98345792,-11.40855184
AlP,LDA,zb,42.22529768,-11.38545891
AlSb,LDA,zb,44.5750876,-8.50282835
AlSb,LDA,zb,46.06080358,-8.70763441
AlSb,LDA,zb,47.57917136,-8.87599611
AlSb,LDA,zb,49.13054584,-9.01109792
AlSb,LDA,zb,50.71528195,-9.11588565
AlSb,LDA,zb,52.33373459,-9.19309209
AlSb,LDA,zb,53.98625867,-9.24524969
AlSb,LDA,zb,55.6732091,-9.27470136
AlSb,LDA,zb,57.39494079,-9.28362152
AlSb,LDA,zb,59.15180866,-9.2740201
AlSb,LDA,zb,60.94416761,-9.24775514
BAs,LDA,zb,21.086458,-12.13357834
BAs,LDA,zb,21.78928303,-12.3528692
BAs,LDA,zb,22.50755416,-12.53160333
BAs,LDA,zb,23.24143927,-12.67314871
BAs,LDA,zb,23.99110625,-12.78061995
BAs,LDA,zb,24.75672299,-12.85690279
BAs,LDA,zb,25.5384574,-12.90467568
BAs,LDA,zb,26.33647735,-12.92641781
BAs,LDA,zb,27.15095075,-12.92443499
BAs,LDA,zb,27.98204548,-12.90086383
BAs,LDA,zb,28.82992944,-12.85769807
BN,LDA,zb,8.9814882,-18.40684032
